file,title,sentences,entities
11551708.xml,Autologous blood in the management of ocular surface disorders,"Clinical studies have demonstrated the efficacy and safety of autologous blood therapy in diverse ocular surface disorders, including persistent epithelial defects, neurotrophic keratopathy, and dry eye disease. | Still, it has also been shown to be effective in the management of superior limbic keratoconjunctivitis, recurrent erosion syndrome, aniridic keratopathy neurotrophic keratopathy, graft versus host disease, ocular cicatricial pemphigoid, Moorens ulcer, filtering bleb post trabeculotomy and post-keratorefractive surgery. | Autologous blood serum has also been found effective in treating neurotrophic keratopathy, resulting in epithelial healing. | This led to the belief that autologous blood contains neurotrophic properties. | In vivo confocal microscopy has revealed early evidence that autologous plasma therapy can improve cornea nerve regeneration, this is beneficial in patients with neurotrophic keratopathy.",""
11571808.xml,Site-blocking antisense oligonucleotides as a mechanism to fine-tune MeCP2 expression,"In a T158M neural stem cell model of RTT, sbASO treatment significantly increased MeCP2 expression and levels of the downstream effector protein brain-derived neurotrophic factor (BDNF). | Although RTT is a heterogeneous disorder, one consistent finding across patient samples and animal models is decreased levels of brain-derived neurotrophic factor (BDNF) (Li and Pozzo-Miller 2014). | In our study, treatment with sbASO.miR-22 and sbASO.miR-132 resulted in a significant increase in BDNF levels in T158MMT NSCs, suggesting that upregulating mutant MeCP2 can potentially mitigate neurotrophic deficits associated with RTT. | Other studies, however, highlighted an activator role, as evidenced by reduced BDNF levels in Mecp2-null mice (Chang et al.","Re (MISC), ##tt (PER), RTT (MISC), C (MISC), ME (MISC), Me (MISC), R (MISC), Me (MISC), RTT (MISC), ME (MISC), Me (MISC), Me (MISC), Me (MISC), Me (MISC), RTT (MISC), Me (MISC)"
11579448.xml,Gene therapy for glaucoma: Targeting key mechanisms,"Neuroprotective strategies explored include targeting neurotrophic factors and their receptors, reducing oxidative stress and mitochondrial dysfunction, and preventing Wallerian degeneration. | Despite the effectiveness of multiple topical drops when used correctly and the development of new IOP lowering medications, such as the Rho Kinase inhibitor Netarsudil (Khouri et al., 2019), adherence to dosing schedules poses a significant challenge, resulting in poor compliance that limits the real-world effectiveness of these treatments (Newman-Casey et al., 2015, Okeke et al., 2009). | While neuroprotection offers a distinct advantage by targeting the ultimate cause of sight loss, the retina is a more immunogenic environment compared to the anterior chamber of the eye (Hori, 2008). | Neuroprotective approaches include increasing levels of neurotrophic factors, reducing oxidative stress, and inhibiting Wallerian degeneration. | For this purpose, tissue inhibitors of metalloproteinases (TIMPs) exhibit a similar expression pattern to MMPs, with the ratio of the two groups of proteins determining the extent of ECM deposition (Tektas and Lütjen-Drecoll, 2009, Overby et al., 2014). | Furthermore, perfusion of ocular tissues with MMPs or MMP-activating compounds leads to increased outflow facility (Bradley et al., 1998, Pang et al., 2003, Webb et al., 2006, Groef et al., 2013). | Tissue plasminogen activator (tPA) is another regulator of MMPs and has been shown to increase MMP-9 and MMP-13 expression after ocular injection. | Intracameral injection of ROCK inhibitor Y-27632 in rabbits has been shown to decrease IOP in a dose dependent manner, with a corresponding increase in outflow facility (Honjo et al., 2001). | Animal models of ocular hypertension display reduced anterograde and retrograde axonal transport of neurotrophic factors, indicating that pathological increases in IOP may lead to RGC death via trophic insufficiency (Quigley et al., 2000, Pease et al., 2000). | 3.2 Targets 3.2.1 Targeting neurotrophic factors and their receptors Neurotrophins are a family of proteins that support the survival, growth, and differentiation of neurons and include nerve growth factor (NGF), brain derived neurotrophic factor (BDNF), ciliary neurotrophic factor (CNTF), and glial cell line-derived neurotrophic factor (GDNF), among others. | Given the potential role of BDNF signalling in glaucoma development, its application as a neuroprotective agent has been explored. | However, this approach has limited clinical application due to the need for multiple injections for lasting neuroprotection. | Consequently, gene therapy-based strategies have been investigated for their potential to provide more durable neuroprotective effects. | Additionally, supplementing BDNF protein once was effective in compensating for the slow onset of AAV-mediated gene expression and rescued a larger number of RGCs. While these studies demonstrate the neuroprotective potential of BDNF expression from the retina following viral transduction, this approach comes with potential drawbacks. | Secondly, overexpression of BDNF may lead to an accumulation of immature proBDNF, and its binding to p75NTR receptors, which are associated with apoptosis and may counteract neuroprotection (Teng et al., 2005). | In a mouse optic nerve crush model, it provided greater neuroprotection than AAV2-BDNF or AAV2-TrkB alone. | Additionally, AAV2 TrkB-2A-mBDNF demonstrated neuroprotective effects in a rat model of laser-induced ocular hypertension (Osborne, Khatib, et al., 2018). | Intravitreal injection of AAV2-iTrkB was shown to be neuroprotective in a mouse model of normotensive glaucoma (glutamateaspartate transporter (GLAST) KO mice), a silicon oil model of ocular hypertension, and an optic nerve crush model. | Considering this, the potential of antioxidants as neuroprotective molecules has been explored. | This therapy provided significant neuroprotection of both RGC soma and axons, and preserved visual function in both a mouse optic nerve crush model and the silicone oil-induced ocular hypertension model. | The neuroprotective capabilities of these approaches were compared to germline knockout of Sarm1 in both an optic nerve crush model and a silicone-oil induced ocular hypertension model. | Most gene therapies aimed at reducing IOP target the TM, while neuroprotection-focussed therapies target RGCs. Thus, many studies have focussed on determining the ideal vector for delivering genetic cargo to these tissues. | Additionally, it was demonstrated that a truncated form of the mSncg promoter, while slightly less RGC specific, could be packaged into an AAV2 vector to drive expression of a CRISPRCas9 system to knockdown pro degenerative genes Ddit3 and Sarm1, providing significant neuroprotection in an optic nerve crush model (Wang et al., 2020). | (2017) demonstrated that transgene expression driven by the Mcp-1 promoter can target stressed RGC cells specifically and shows equivalent transgene expression to the CMV promoter, while reducing stress and death in healthy RGCs. Advancing the development of such targeted promoters could significantly enhance the efficiency of gene therapies for neuroprotection in humans. | Gene therapy strategies for glaucoma can be broadly classed into those aimed at reducing IOP and those aimed at providing neuroprotection to RGCs. As most glaucoma is a multifactorial disease, gene therapies aim to target common pathways underlying these hallmarks of disease. | Neuroprotective strategies target common RGC degenerative pathways such as neurotrophic factor deprivation, oxidative stress, and Wallerian degeneration.","G (MISC)"
11580588.xml,Promise of the gut microbiota in prevention and traditional Chinese medicine treatment of diabetic peripheral neuropathy,"For example, aldose reductase inhibitors have been found to exhibit potential adverse effects and limit the amelioration of clinical symptoms, leading to their discontinuation. | They reviewed and summarized several articles on the treatment of diabetes and its complications using TCM compounds and found that several TCM compounds, such as Shenqi Dihuang Decoction, Huangkui Capsules, and Qidi Tangshen Granules, can modulate the gut microbiota, thereby reducing serum total bile acid levels, mediating immune responses, regulating and promoting the release of various signaling factors, and ultimately facilitating the recovery of DPN. | TCM is primarily administered orally, so its natural compounds can interact extensively with the gut microbiota. | TCM compounds contribute to the regulation of the gut microbiota composition, thereby mitigating gut microbiota dysfunction and associated pathological conditions. | TCM shows an inhibitory effect on opportunistic or potential pathogenic bacteria in the gut of preclinical models of chronic kidney disease. | Polyphenolic compounds such as curcumin and resveratrol have anti-inflammatory, antioxidant, and protective properties against cell apoptosis. | Jinmaitong, a TCM compound specifically designed for DPN, has shown neuroprotective effects by regulating the gut microbiota and neuregulin 1 level in DPN rats. | However, it is imperative to acknowledge that while these TCM extracts and compounds can serve as effective adjunctive treatment regimens for anti-diabetic drugs in patients with DPN, they cannot entirely substitute hypoglycemic agents in clinical practices. | In particular, when most chemical substances in certain TCM compounds or formulas have no biological activity or bioavailability, exploring the role of TCM in regulating the gut microbiota can better explain the mechanism of the effect of TCM.","DP (MISC), DP (MISC), Li (PER), Chinese (MISC), TCM (MISC), DP (MISC), T (ORG), D (MISC), T (ORG), D (MISC), D (MISC), D (MISC), Chinese (MISC), TCM (MISC), DP (MISC), D (MISC), D (MISC), T (MISC), Di (MISC), D (MISC)"
11581771.xml,New approaches to acute kidney injury,"Urine proteomics studies have found AKI markers including NGAL, which can be used clinically, and novel exploratory biomarkers cystatin C, interleukin-18, albumin , tissue inhibitor of metalloprotease-2 (TIMP-2) and insulin-like growth factor binding protein 7 (IGFBP7) (can also be used clinically) , β2-microglobulin and urinary transferrin which detect AKI better than serum creatinine (SCr) . | Addition of new data from diverse populations and various disease stages and novel molecular biomarkers such as urinary KIM-1, liver-type fatty acid binding protein (L-FABP), IGFBP7 and TIMP-2, uromodulin (UMOD) and soluble urokinase plasminogen activator receptor (suPAR) is expected to further improve these AI models .","AKI (MISC), AKI (MISC), AK (MISC), AKI (MISC), AK (MISC), AKI (MISC), C (MISC), AKI (MISC), AK (MISC), AK (MISC)"
11582383.xml,
NMDA Receptor–Mediated Ca2+ Flux Attenuated by the NMDA Receptor/TRPM4 Interface Inhibitor Brophenexin,"Brophenexin, a compound that binds to TRPM4 at the NMDAR binding interface, protected hippocampal neurons in culture from NMDAinduced death, consistent with published work. | In the absence of these inhibitors, brophenexin inhibited the NMDAevoked response by 51 16. | Treatment with the TRPM4 inhibitor 4chloro2(1naphthyloxyacetamido)benzoic acid (NBA; 10 μM) increased NMDAevoked Ca2 influx by 90 15. | These results are consistent with a model in which TRPM4 interacts with NMDARs to potentiate Ca2 flux through the NMDAR ion channel and thus provides a potential mechanism for the neuroprotection afforded by NMDARTRPM4 interface inhibitors such as brophenexin. | The TwinF peptide acts as a competitive inhibitor of complex formation and in so doing protects from NMDARmediated toxicity in vitro and from strokemediated brain damage in vivo . | Inhibition of TRPM4 is neuroprotective in models of cerebral edema , aneurysmal subarachnoid hemorrhage , and experimental autoimmune encephalomyelitis , making it a potential therapeutic target for neurotoxic conditions. | Several inhibitors of TRPM4 function have been developed. | 9Phenanthrol is a widely used inhibitor of TRPM4, but it lacks specificity and potency . | Inhibitors with increased potency and specificity were identified in a functional screen , and two compounds with submicromolar potency, 4chloro2(2chlorophenoxyacetamido)benzoic acid (CBA) and 4chloro2(1naphthyloxyacetamido)benzoic acid (NBA), have been described . | While small molecule inhibitors of TRPM4 show therapeutic promise, the ubiquitous expression of TRPM4 could lead to ontarget adverse effects, again showing the need for highly selective inhibitors. | recently described a new class of small molecules that bind to the TwinF site on TRPM4 blocking complex formation between esNMDARs and TRPM4. | A prototype NMDARTRPM4 interface inhibitor described as compound 8 and also known as brophenexin (BPN) (PubChem CID 138040845) was found to attenuate NMDAevoked depolarization of mitochondrial membrane potential and protect from NMDAinduced neurotoxicity. | NMDARTRPM4 interface inhibitors represent an exciting new target for neuroprotective drugs . | Here, we replicated the neuroprotective effects of BPN described by Yan et al. | and tested the hypothesis that BPN inhibits Ca2 influx via NMDARs. Treating rat hippocampal cultures with BPN inhibited NMDAevoked increases in i in a manner blocked by the TRPM4 inhibitor NBA. | Cells used in these experiments were cultured without mitotic inhibitors for 1415 DIV resulting in a mixed glialneuronal culture consisting of 18 2 neurons, 70 3 astrocytes, and 9 3 microglia as indicated by immunocytochemistry . | To test this possibility, we pretreated the cells with Mg2free HHSS containing TTX, CNQX, and Bic in the presence of the selective and potent TRPM4 inhibitor NBA . | 3.5 BPN Inhibits and NBA Potentiates NMDAEvoked Increases in i We next examined the possibility that the inhibition of NMDAevoked increases in i by BPN might also be sensitive to attenuation by the TRPM4 inhibitor NBA. | 3.6 Hyperosmotic Media Inhibits NMDAEvoked i Increases The potentiation of the NMDAevoked i response by the TRPM4 inhibitor NBA led us to question what effect activation of TRPM4 would have on NMDAR function. | 4 Discussion The NMDARTRPM4 complex inhibitor BPN prevents NMDAinduced excitotoxic cell death (Figure 1) . | Here we show that BPN inhibits Ca2 flux through NMDARs, providing a mechanism for its neuroprotective properties. | In addition, we show that the TRPM4 inhibitor NBA modulates reciprocally the function of NMDARs. In Figure 7, we provide a hypothetical model incorporating the results presented here with published findings showing the NMDARTRPM4 complex as the target for novel actions of drugs that act on TRPM4 in neurons. | showing that TRPM4 forms a complex with NMDARs, and that this complex is disrupted by BPN, the most reasonable explanation for this result is that the formation of the NMDARTRPM4 complex markedly potentiates ion flux through activated NMDARs. Because the inhibition of INMDA by BPN was not dependent on TRPM4mediated Na flux, we predicted the selective TRPM4 inhibitor NBA would have no effect on NMDAevoked i responses. | The significance of the effects of Bic, and more generally the cocktail containing TTX, CNQX, and Bic, is that long incubations in buffers containing these channel blockers, which are often used to isolate currents through NMDARs, produce a timedependent inhibition of NMDAevoked Ca2 influx that occludes the inhibitory effects of BPN. | The TRPM4 inhibitor 9phenanthrol improved outcomes following cerebral edema . | The novel NMDARTRPM4 interface inhibitors appear to avoid these adverse effects because the NMDARTRPM4 complexes are predominately extrasynaptic . | Understanding how TRPM4 affects metabotropic relative to ionotropic NMDAR signaling might guide the use and development of neuroprotective agents. | We found that NMDARTRPM4 interface inhibitor BPN inhibited Ca2 flux through NMDARs providing a mechanism for the neuroprotective effects of BPN.","ABS (ORG), N (MISC), ##D (MISC), N (MISC), NMDAR (MISC), NMDAR (MISC), ##nex (ORG), NMD (MISC), N (MISC), ##A (MISC), N (MISC), ##C (MISC), N (MISC), Na (MISC), N (MISC), N (MISC), N (MISC), TRP (MISC), N (MISC)"
11583172.xml,Design and In Vivo Testing of an Anatomic 3D-Printed Peripheral Nerve Conduit in a Rat Sciatic Nerve Model,"Samples harvested for immunohistochemistry were fixed in 4 paraformaldehyde (PFA) in 1X PBS at 4 C for storage and then embedded into optimal cutting temperature (OCT) compound.","Lewis (MISC), Sc (MISC), Functional Index (MISC), SFI (MISC), Image J (ORG), E (MISC)"
11583384.xml,Pedunculoside alleviates cognitive deficits and neuronal cell apoptosis by activating the AMPK signaling cascade,"In vivo, Ped alleviated memory deficits and inhibited neuronal apoptosis, inflammation, and oxidative stress in the hippocampus of 3 Tg AD mice, along with the activation of the AMPK signaling pathway.ConclusionThe findings indicate that Ped exerts its neuroprotective effects against oxidative stress and apoptosis through the AMPK signaling cascade. | We conducted a screening of the Natural Product Library obtained in the laboratory, initially obtained Pedunculoside (Ped), a natural product with neuroprotective effects. | Western blot assays Proteins are extracted from cell or tissue homogenates using RIPA (strong) buffer containing a mixture of protease and phosphatase inhibitors. | Results Ped decreased Aβ-induced apoptosis in PC12 Cells To explore natural compounds with neuroprotective effects, we screened a library of 80 natural compounds purchased from TargetMol library service for their effects on Aβ-induced neurotoxicity by MTT assay. | The obtained results indicate that Ped has the best protective effect among those compounds against Aβ-induced PC12 cell damage (Fig. | We screened 80 compounds from natural chemical libraries to explore their protective effects against Aβ-induced injury in PC12 cells. | Consequently, we can preliminarily infer that Ped has the capacity to attenuate the generation of intracellular ROS, suggesting its potential as an inhibitor of free radicals. | Involvement of AMPK in the neuroprotection of Ped AMPK, a ternary SerThr protein kinase composed of α, β, and γ subunits, is a major regulator of cellular energy homeostasis , as well as an important sensor for monitoring cellular energy status, central to glucose and lipid metabolism, and implicated in the pathogenesis of AD . | Next, we aim to investigate the correlation between the phosphorylation activity of GSK-3β(ser9) and the neuroprotective impact of Ped. | Compound C, also known as dorsomorphin, is an exceptionally potent, cell-permeable compound that selectively blocks AMPK activity by competitively binding to ATP. | Therefore, we subsequently used Compound C to evaluate whether Ped exerts neuroprotective effects via modulation of the AMPK signaling pathway. | Figure 3G and I Western blot results showed that Compound C partially reversed the inhibitory effect of Ped on apoptosis and its activation of the AMPKGSK-3βNrf2 signaling pathway. | The results above unequivocally demonstrated that pretreatment with Compound C significantly reduced the neuroprotective effects of Ped (Fig. | PC12 cells in the inhibitor group were pretreated with 5 μM Compound C (AMPK inhibitor) for 30 min, and then each group of cells were treated with 20 μM Ped for 2 h, and then incubated with 10 μM Aβ (Aβ group, Ped group, inhibitor group) for another 24 h. | n 3 independent experiments Ped attenuated spatial learning and reference memory deficits in 3 Tg-AD mice model Based on the results of the above in vitro studies, we next verified whether the neuroprotective effects of Ped in PC12 cells could play a role in a triple transgenic mice model of AD (3 Tg-AD). | This conclusion was further verified by using the AMPK inhibitor compound C. | Our results suggest that treatment with Ped can increase the phosphorylation of AMPK, GSK-3β Ser9 site, and enhance the expression level of Nrf2 protein, thus exerting neuroprotective effects. | A temporal correlation has been observed between the neuroprotective effects induced by Ped in insulted neurons and the neurotherapeutic benefits observed in the 3 Tg-AD mouse model. | These findings suggest that Ped may have the potential to serve as a novel activator of AMPKGSK-3βNrf2 pathway, providing therapeutic effects against inflammation and oxidative stress. | The outcomes of both in vivo and in vitro investigations demonstrated the antioxidant and neuroprotective effects of Ped. | Mechanistically, we found that Ped exerted neuroprotective effects by activation of the AMPK signaling cascade.","Alzheimers (MISC), AD (MISC), Il (MISC), T (PER), A (MISC), AD (MISC), AD (MISC), Western (MISC), Morris Water Maze (MISC), Novel O (MISC), Recognition (MISC), PC12 (MISC), A (MISC), AM (MISC), AD (MISC), AM (MISC), ##K (MISC), Alzheimer (MISC)"
11583420.xml,Reprogrammed human lateral ganglionic eminence precursors generate striatal neurons and restore motor function in a rat model of Huntington’s disease,"The cells were passaged at Day 7 of reprogramming using 0.05 trypsin-EDTA (400µLwell; Gibco) and trypsin inhibitor (400µLwell; Sigma) and re-seeded to 300,000 cellswell on 6 well plates. | We first investigated the effect of adding the broad-spectrum protein kinase C inhibitor Gö6983 (5µM), the p160ROCK inhibitor Y-27,632 (10µM) and 1 N-2 supplement (combination abbreviated to GYN), and 10µM retinoic acid to our standard NBA-based reprogramming medium containing 1mM valproic acid, 1 penicillin-streptomycin-glutamine, 2 B-27 without retinoic acid, 20ngml EGF, 20ngml FGF2, and 2 µgml heparin. | Graphs demonstrating the effect of reprogramming with GYN alone or in combination with ActA with or without all three GYN compounds on the proportion of (E) TUJ1-positive cells and (F) DARPP32-positive cells after 14 days of differentiation. | Arrows indicate SYN1 and PSD-95 puncta Finally, we investigated whether supplementation of BrainPhys-based striatal differentiation medium with the AMP-activate kinase inhibitor dorsomorphin for the first 5 days of differentiation or supplementation with the broad-spectrum protein kinase C inhibitor Gö6983 for the first 5 days of differentiation followed by dorsomorphin for the next 5 days of differentiation could further enhance the generation of DARPP32-positive neurons. | To assess the contribution and need for each of the reprogramming compounds to generate high yields of DARPP32TUJ1-positive hiLGEP-derived neurons, we considered the neuronal yield of hiLGEPs reprogrammed with GYN alone or in combination with Activin A, with or without all three GYN compounds (Fig. | Furthermore, the QA lesioned environment is known to support cell survival of primary striatal grafts to a greater extent than the unlesioned striatum, and may enhance lineage-specific differentiation and maturation through injury-induced expression of neurotrophic factors .","##H (MISC), HD (MISC), GA (MISC), HD (MISC), HD (MISC), ##L (MISC), Cal (MISC), S (ORG), PA (ORG)"
